"ntree","mtry","nodesize","RMSE","MAE"
200,35,6,4.85589179580315,3.74909782608696
210,35,6,4.77411041026436,3.77446859903381
220,35,6,4.84960212906963,3.79175230566535
230,35,6,4.82988742113095,3.75063327032136
240,35,6,4.8285865289764,3.79245471014493
250,35,6,4.87145134520459,3.8303652173913
260,35,6,4.8570153000314,3.79639074693423
270,35,6,4.87947042730677,3.76759796027913
280,35,6,4.79679057995881,3.82746635610766
290,35,6,4.84383938539148,3.8089780109945
300,35,6,4.82521766636261,3.7784806763285
10,45,6,5.47656853317392,4.31666666666667
20,45,6,4.73628717602386,3.80786231884058
