"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
250,9,0.1,0,3,0.8,0.6,3.01872520630873,2.49145671299526
50,3,0.01,0,5,0.8,0.6,3.79707487849248,2.71104976109096
150,3,0.01,0,5,0.8,0.6,3.35684664045834,2.24168886457171
200,3,0.01,0,5,0.8,0.6,3.23940858165811,2.17596817016602
250,3,0.01,0,5,0.8,0.6,3.127171283577,2.0652345929827
50,6,0.01,0,5,0.8,0.6,3.81715149790599,2.72850363595145
150,6,0.01,0,5,0.8,0.6,3.36074630721287,2.22706821986607
200,6,0.01,0,5,0.8,0.6,3.25622655522236,2.17474910191127
250,6,0.01,0,5,0.8,0.6,3.1158824824714,2.04228918892997
50,9,0.01,0,5,0.8,0.6,3.8164658359459,2.71262577601842
150,9,0.01,0,5,0.8,0.6,3.36279323940532,2.22799192156111
200,9,0.01,0,5,0.8,0.6,3.21537774920754,2.12102018083845
250,9,0.01,0,5,0.8,0.6,3.12931261247652,2.04913820539202
50,3,0.05,0,5,0.8,0.6,3.14957323713562,2.04542214529855
150,3,0.05,0,5,0.8,0.6,2.59395318928859,1.93992669241769
200,3,0.05,0,5,0.8,0.6,2.76994992684931,2.18496268136161
250,3,0.05,0,5,0.8,0.6,2.27420636584643,1.83768953595843
50,6,0.05,0,5,0.8,0.6,3.09243098504781,2.06082480294364
150,6,0.05,0,5,0.8,0.6,2.77199060643986,2.19477735246931
200,6,0.05,0,5,0.8,0.6,2.66404714660488,2.10221535818917
250,6,0.05,0,5,0.8,0.6,2.73135363834133,2.25309698922294
50,9,0.05,0,5,0.8,0.6,3.08276190949242,2.04542432512556
150,9,0.05,0,5,0.8,0.6,2.59847511776127,1.99973787580218
200,9,0.05,0,5,0.8,0.6,2.73749302242029,2.18343734741211
250,9,0.05,0,5,0.8,0.6,2.73469714063568,2.11895588466099
50,3,0.1,0,5,0.8,0.6,2.75246759443114,1.95883178710938
150,3,0.1,0,5,0.8,0.6,2.85056282756276,2.27948216029576
200,3,0.1,0,5,0.8,0.6,2.84740785064291,2.32065037318638
250,3,0.1,0,5,0.8,0.6,2.81622101820584,2.36107526506696
50,6,0.1,0,5,0.8,0.6,2.66307268365031,1.92224448067801
150,6,0.1,0,5,0.8,0.6,2.92591752491075,2.48167473929269
200,6,0.1,0,5,0.8,0.6,2.77594537764888,2.10111345563616
250,6,0.1,0,5,0.8,0.6,3.00648295676622,2.51989582606724
50,9,0.1,0,5,0.8,0.6,2.78056451040139,1.99582944597517
150,9,0.1,0,5,0.8,0.6,2.91139641111569,2.42013495309012
200,9,0.1,0,5,0.8,0.6,2.73541544259513,2.09397997174944
250,9,0.1,0,5,0.8,0.6,3.04015479960307,2.55392510550363
50,3,0.01,0,1,1,0.6,3.82925749791208,2.74853951590402
150,3,0.01,0,1,1,0.6,3.4034914701884,2.29695510864258
