"nrounds","max_depth","eta","gamma","min_child_weight","subsample","colsample_bytree","RMSE","MAE"
50,3,0.05,0,3,0.8,0.6,6.64019980584833,5.19308471679688
150,3,0.05,0,3,0.8,0.6,4.93180196297865,4.09074401855469
200,3,0.05,0,3,0.8,0.6,4.46763761475762,3.7809077671596
250,3,0.05,0,3,0.8,0.6,4.18843492681528,3.6713022504534
50,6,0.05,0,3,0.8,0.6,6.61729226890478,5.15972518920898
150,6,0.05,0,3,0.8,0.6,4.94617390362234,4.13916996547154
200,6,0.05,0,3,0.8,0.6,4.51097225142921,3.81829125540597
250,6,0.05,0,3,0.8,0.6,4.37563291156177,3.71251841953823
50,9,0.05,0,3,0.8,0.6,6.64803562910298,5.16837092808315
150,9,0.05,0,3,0.8,0.6,4.95425024836929,4.12444686889648
200,9,0.05,0,3,0.8,0.6,4.64378931413921,3.9889886038644
250,9,0.05,0,3,0.8,0.6,4.36299847366731,3.7791748046875
50,3,0.1,0,3,0.8,0.6,5.65789785805913,4.5729375566755
150,3,0.1,0,3,0.8,0.6,4.03427492173154,3.45594733101981
200,3,0.1,0,3,0.8,0.6,4.00033328086448,3.57261821201869
250,3,0.1,0,3,0.8,0.6,3.98348707362858,3.34170532226562
50,6,0.1,0,3,0.8,0.6,5.8413963968862,4.72678102765764
150,6,0.1,0,3,0.8,0.6,3.87588796631632,3.32277134486607
200,6,0.1,0,3,0.8,0.6,4.29906359649512,3.73657281058175
250,6,0.1,0,3,0.8,0.6,4.11398241729522,3.59005192347935
50,9,0.1,0,3,0.8,0.6,5.70720363727653,4.49999346051897
150,9,0.1,0,3,0.8,0.6,4.12531400747883,3.42040307181222
200,9,0.1,0,3,0.8,0.6,4.34856908231218,3.57062312534877
250,9,0.1,0,3,0.8,0.6,3.44248288043337,2.93928963797433
50,3,0.01,0,5,0.8,0.6,7.63072864090676,5.91876547677176
150,3,0.01,0,5,0.8,0.6,7.1357239699954,5.49459675380162
200,3,0.01,0,5,0.8,0.6,6.88766155895321,5.3340323311942
250,3,0.01,0,5,0.8,0.6,6.69249990168352,5.18733542306083
50,6,0.01,0,5,0.8,0.6,7.62204215989158,5.9109262738909
150,6,0.01,0,5,0.8,0.6,7.13275507671085,5.51643916538784
200,6,0.01,0,5,0.8,0.6,6.90431710950825,5.31919261387416
250,6,0.01,0,5,0.8,0.6,6.68142318597444,5.22642135620117
50,9,0.01,0,5,0.8,0.6,7.63337928332509,5.91152463640486
150,9,0.01,0,5,0.8,0.6,7.12888008678448,5.48978696550642
200,9,0.01,0,5,0.8,0.6,6.89647014801893,5.3415276663644
250,9,0.01,0,5,0.8,0.6,6.69089404424691,5.19226728166853
50,3,0.05,0,5,0.8,0.6,6.69449802280702,5.222412109375
150,3,0.05,0,5,0.8,0.6,5.03096041506699,4.15786743164062
200,3,0.05,0,5,0.8,0.6,4.51966090801478,3.81195504324777
250,3,0.05,0,5,0.8,0.6,4.1171234222164,3.55177579607282
50,6,0.05,0,5,0.8,0.6,6.70621939344283,5.26312582833426
150,6,0.05,0,5,0.8,0.6,4.99939009057697,4.12359728131975
200,6,0.05,0,5,0.8,0.6,4.43852882649743,3.69643402099609
